"ADM2_CODE","ADM2_NAME","STR2_YEAR","EXP2_YEAR","ADM1_CODE","ADM1_NAME","STATUS","DISP_AREA","ADM0_CODE","ADM0_NAME","Shape_Leng","Shape_Area","BS_Modified"
70182,"Jalna",1000,3000,1498,"Maharashtra","Member State","NO",115,"India",6.07951538103,0.67074586665,"Low"
70183,"Mumbai Suburban",1997,3000,1498,"Maharashtra","Member State","NO",115,"India",1.22174678755,0.03504988215,"Moderately Low"
70184,"Mumbai city",1997,3000,1498,"Maharashtra","Member State","NO",115,"India",0.7949851345,0.00660527512,NA
70185,"Nandurbar",1998,3000,1498,"Maharashtra","Member State","NO",115,"India",6.22655261757,0.51718590337,"Low"
70186,"Parbhani",2000,3000,1498,"Maharashtra","Member State","NO",115,"India",5.01954264125,0.54387779619,"Low"
70187,"Washim",1997,3000,1498,"Maharashtra","Member State","NO",115,"India",5.31894905864,0.44880136964,"Low"
70188,"Bishnupur",1000,3000,1500,"Manipur","Member State","NO",115,"India",1.51252646275,0.04284075182,"Moderately Severe"
70189,"Chandel",1000,3000,1500,"Manipur","Member State","NO",115,"India",2.9624461837,0.28409847185,"Moderately Severe"
70190,"Churachandpur",1000,3000,1500,"Manipur","Member State","NO",115,"India",4.13323214097,0.42268924133,"Moderately Severe"
70191,"East Imphal",1997,3000,1500,"Manipur","Member State","NO",115,"India",2.78608648681,0.05341786289,"Moderate"
70192,"Senapati",1000,3000,1500,"Manipur","Member State","NO",115,"India",6.24895629116,0.3121091389,"Low"
70193,"Tamenglong",1000,3000,1500,"Manipur","Member State","NO",115,"India",3.98724929289,0.37515516415,"Moderately Severe"
70194,"Thoubal",1000,3000,1500,"Manipur","Member State","NO",115,"India",2.06673515447,0.06361983336,"Moderately Severe"
70195,"Ukhrul",1000,3000,1500,"Manipur","Member State","NO",115,"India",3.46268499219,0.39506273963,"Moderately Low"
70196,"West Imphal",1997,3000,1500,"Manipur","Member State","NO",115,"India",1.87303501034,0.04357141477,"Moderately Severe"
17793,"East Garo Hills",1000,3000,1501,"Meghalaya","Member State","NO",115,"India",3.55946918708,0.2639985785,"Moderately Severe"
17794,"East Khasi Hills",1992,3000,1501,"Meghalaya","Member State","NO",115,"India",2.80840133947,0.2586786633,"Moderately Low"
17795,"Jaintia Hills",1000,3000,1501,"Meghalaya","Member State","NO",115,"India",3.28866702814,0.34263550446,"Moderately Severe"
17796,"West Garo Hills",1992,3000,1501,"Meghalaya","Member State","NO",115,"India",2.88984382729,0.3085180826,"Moderately Severe"
17797,"West Khasi Hills",1000,3000,1501,"Meghalaya","Member State","NO",115,"India",3.93859031335,0.47104578577,"Moderately Low"
70197,"Ri-Bhoi",1992,3000,1501,"Meghalaya","Member State","NO",115,"India",3.55798300425,0.21481200549,"Moderately Severe"
70198,"South Garo Hills",1992,3000,1501,"Meghalaya","Member State","NO",115,"India",2.20207555206,0.1678928742,"Moderately Severe"
