"ADM2_CODE","ADM2_NAME","STR2_YEAR","EXP2_YEAR","ADM1_CODE","ADM1_NAME","STATUS","DISP_AREA","ADM0_CODE","ADM0_NAME","Shape_Leng","Shape_Area","BB"
17644,"Kheda",1998,3000,1491,"Gujarat","Member State","NO",115,"India",4.56880283984,0.350501010597,"[0,555]"
17645,"Mahesana",2000,3000,1491,"Gujarat","Member State","NO",115,"India",4.86210370301,0.388156927209,"[0,555]"
17647,"Rajkot",1000,3000,1491,"Gujarat","Member State","NO",115,"India",10.6881272357,0.976638295083,"(555,1.11e+03]"
17648,"Sabar Kantha",1000,3000,1491,"Gujarat","Member State","NO",115,"India",5.69940854656,0.658489394093,"(555,1.11e+03]"
17649,"Surat",1000,3000,1491,"Gujarat","Member State","NO",115,"India",10.1549550666,0.649624247236,"(555,1.11e+03]"
17650,"Surendranagar",1000,3000,1491,"Gujarat","Member State","NO",115,"India",8.51853172051,0.919479832747,"[0,555]"
17651,"The Dangs",1000,3000,1491,"Gujarat","Member State","NO",115,"India",1.87873727221,0.148477682368,"(1.67e+03,2.22e+03]"
17652,"Vadodara",1000,3000,1491,"Gujarat","Member State","NO",115,"India",7.3514160014,0.67783810783,"(555,1.11e+03]"
17653,"Valsad",1998,3000,1491,"Gujarat","Member State","NO",115,"India",5.91227713428,0.261131313968,"(1.11e+03,1.67e+03]"
70124,"Anand",1998,3000,1491,"Gujarat","Member State","NO",115,"India",3.66293293955,0.237034394921,"[0,555]"
70125,"Dahod",1998,3000,1491,"Gujarat","Member State","NO",115,"India",4.68296158645,0.459792281085,"(1.11e+03,1.67e+03]"
70126,"Narmada",1998,3000,1491,"Gujarat","Member State","NO",115,"India",3.27082222072,0.224181359692,"(1.11e+03,1.67e+03]"
70127,"Navsari",1998,3000,1491,"Gujarat","Member State","NO",115,"India",5.80200668979,0.181489638976,"(555,1.11e+03]"
70128,"Panch Mahals",1998,3000,1491,"Gujarat","Member State","NO",115,"India",5.04432951591,0.320717918401,"(555,1.11e+03]"
70129,"Patan",2000,3000,1491,"Gujarat","Member State","NO",115,"India",6.0446307956,0.531766554568,"[0,555]"
70130,"Porbandar",1998,3000,1491,"Gujarat","Member State","NO",115,"India",3.87719980874,0.206158130154,"(1.11e+03,1.67e+03]"
17654,"Ambala",1994,3000,1492,"Haryana","Member State","NO",115,"India",2.95525345533,0.164479868288,"(1.67e+03,2.22e+03]"
17655,"Bhiwani",1000,3000,1492,"Haryana","Member State","NO",115,"India",3.68374892944,0.428093000565,"(555,1.11e+03]"
17657,"Gurgaon",1000,3000,1492,"Haryana","Member State","NO",115,"India",3.91826217927,0.252756836751,"(1.11e+03,1.67e+03]"
17658,"Hisar",1998,3000,1492,"Haryana","Member State","NO",115,"India",3.94379028868,0.386878679118,"(555,1.11e+03]"
17659,"Jind",1000,3000,1492,"Haryana","Member State","NO",115,"India",3.36808830302,0.254149464272,"(1.11e+03,1.67e+03]"
17660,"Karnal",1990,3000,1492,"Haryana","Member State","NO",115,"India",2.77367141357,0.240933126126,"(1.67e+03,2.22e+03]"
17661,"Kurukshetra",1990,3000,1492,"Haryana","Member State","NO",115,"India",2.743085594,0.17173882631,"(1.67e+03,2.22e+03]"
17662,"Mahendragarh",1990,3000,1492,"Haryana","Member State","NO",115,"India",3.59342731073,0.177958868908,"(1.67e+03,2.22e+03]"
17663,"Rohtak",1998,3000,1492,"Haryana","Member State","NO",115,"India",2.32474000215,0.155942008374,"(555,1.11e+03]"
17664,"Sirsa",1000,3000,1492,"Haryana","Member State","NO",115,"India",3.94633673396,0.394112777621,"(1.11e+03,1.67e+03]"
17665,"Sonepat",1990,3000,1492,"Haryana","Member State","NO",115,"India",2.53085251373,0.205076184439,"(1.11e+03,1.67e+03]"
70131,"Faridabad",1000,3000,1492,"Haryana","Member State","NO",115,"India",2.67967156557,0.198649089595,"(1.11e+03,1.67e+03]"
70132,"Fatehabad",1998,3000,1492,"Haryana","Member State","NO",115,"India",2.94903140277,0.223445207005,"(555,1.11e+03]"
70133,"Jhajjar",1998,3000,1492,"Haryana","Member State","NO",115,"India",2.99464208155,0.194834643396,"(1.11e+03,1.67e+03]"
70134,"Kaithal",1990,3000,1492,"Haryana","Member State","NO",115,"India",3.18507435051,0.214695330556,"(1.11e+03,1.67e+03]"
